39_cause_recode,month_of_death,count,total,percentage
01,01,561,6169,9.093856378667532
01,02,493,6169,7.9915707570108605
01,03,573,6169,9.288377370724591
01,04,512,6169,8.299562327767871
01,05,506,6169,8.202301831739343
01,06,494,6169,8.007780839682283
01,07,506,6169,8.202301831739343
01,08,513,6169,8.315772410439292
01,09,464,6169,7.521478359539634
01,10,501,6169,8.121251418382233
01,11,504,6169,8.169881666396499
01,12,542,6169,8.78586480791052
02,01,43,442,9.728506787330318
02,02,34,442,7.6923076923076925
02,03,47,442,10.633484162895927
02,04,36,442,8.144796380090497
02,05,34,442,7.6923076923076925
02,06,35,442,7.918552036199094
02,07,38,442,8.597285067873303
02,08,24,442,5.429864253393665
02,09,34,442,7.6923076923076925
02,10,31,442,7.013574660633484
02,11,39,442,8.823529411764707
02,12,47,442,10.633484162895927
03,01,9179,99513,9.223920492799936
03,02,8443,99513,8.484318631736556
03,03,8924,99513,8.967672565393466
03,04,8280,99513,8.320520936963009
03,05,8304,99513,8.344638388954206
03,06,7841,99513,7.879372544290695
03,07,8041,99513,8.080351310884005
03,08,8023,99513,8.062263221890607
03,09,7778,99513,7.816064232813804
03,10,8299,99513,8.339613919789373
03,11,7907,99513,7.945695537266488
03,12,8494,99513,8.53556821721785
05,01,10801,124569,8.670696561744897
05,02,9808,124569,7.873547993481524
05,03,10364,124569,8.319886970273503
05,04,10145,124569,8.144080790565871
05,05,10416,124569,8.361630903354769
05,06,10388,124569,8.339153400926394
05,07,10416,124569,8.361630903354769
05,08,10531,124569,8.453949216899872
05,09,10315,124569,8.28055134102385
05,10,10590,124569,8.501312525588228
05,11,10319,124569,8.283762412799332
05,12,10476,124569,8.409796979986996
06,01,50372,581347,8.664704556830946
06,02,45899,581347,7.895284571864996
06,03,49811,581347,8.568204531888872
06,04,47355,581347,8.145737399522144
06,05,48484,581347,8.33994154953926
06,06,47184,581347,8.116322953416805
06,07,48587,581347,8.357659022924347
06,08,49512,581347,8.516772254780708
06,09,47328,581347,8.141093013294984
06,10,49578,581347,8.528125198891539
06,11,47516,581347,8.173431702580386
06,12,49721,581347,8.55272324446501
07,01,34402,405728,8.47907958040855
07,02,31126,405728,7.671642085337961
