education_2003_revision,manner_of_death,count,total,percentage
,,0,5953349,0.0
,1,392287,5953349,6.589349960837169
,2,120629,5953349,2.026237668915429
,3,60221,5953349,1.0115482898785204
,4,14581,5953349,0.2449209680131301
,5,38070,5953349,0.63947200138947
,7,5327561,5953349,89.48847111096629
1,,0,2004343,0.0
1,1,95450,2004343,4.762158971792752
1,2,12646,2004343,0.6309299356447474
1,3,15360,2004343,0.766335901589698
1,4,5925,2004343,0.2956080870389948
1,5,18651,2004343,0.9305293555045219
1,7,1856311,2004343,92.6144377484293
2,,0,1903934,0.0
2,1,132902,1903934,6.98038902609019
2,2,37228,1903934,1.955319879785749
2,3,36142,1903934,1.8982800874400056
2,4,5346,1903934,0.28078704408871313
2,5,9487,1903934,0.4982840791750134
2,7,1682829,1903934,88.38693988342033
3,,0,6800861,0.0
3,1,385051,6800861,5.661797822363963
3,2,117887,6800861,1.7334128722819067
3,3,55434,6800861,0.8151026759699985
3,4,15113,6800861,0.2222218627906084
3,5,25769,6800861,0.3789079059254409
3,7,6201607,6800861,91.18855686066809
4,,0,1869235,0.0
4,1,137131,1869235,7.33620973285863
4,2,51558,1869235,2.758240670648688
4,3,15928,1869235,0.8521132976859518
4,4,4817,1869235,0.2576990052080129
4,5,9845,1869235,0.5266860507105847
4,7,1649956,1869235,88.26905124288812
5,,0,860584,0.0
5,1,52856,860584,6.141875749491043
5,2,20697,860584,2.404994747752689
5,3,4759,860584,0.5529965697712251
5,4,1938,860584,0.22519591347271156
5,5,3704,860584,0.4304053991243156
5,7,776630,860584,90.24453162038802
6,,0,1480506,0.0
6,1,77480,1480506,5.23334589660562
6,2,35521,1480506,2.3992472843743964
6,3,4812,1480506,0.3250240120607414
6,4,2740,1480506,0.18507186056659009
6,5,5075,1480506,0.3427882088961477
6,7,1354878,1480506,91.5145227374965
7,,0,559410,0.0
7,1,25531,559410,4.5639155538871305
7,2,11644,559410,2.08147870077403
7,3,1444,559410,0.258129100302104
7,4,789,559410,0.14104145438944604
7,5,1601,559410,0.2861943833681915
7,7,518401,559410,92.6692408072791
8,,0,228934,0.0
8,1,11498,228934,5.022408204984843
8,2,5923,228934,2.587208540452707
8,3,514,228934,0.22451885696314222
8,4,319,228934,0.13934146959385674
8,5,694,228934,0.30314413761171344
8,7,209986,228934,91.72337879039374
9,,0,402727,0.0
9,1,40082,402727,9.952647823463536
9,2,9628,402727,2.3907013932515078
9,3,5914,402727,1.4684885791119044
9,4,4240,402727,1.0528223834011625
9,5,6860,402727,1.7033871580499942
9,7,336003,402727,83.4319526627219
