marital_status,manner_of_death,count,total,percentage
D,,0,3124047,0.0
D,1,239858,3124047,7.6777974211015385
D,2,94465,3124047,3.023802138700218
D,3,23492,3124047,0.7519733217842113
D,4,11625,3124047,0.3721134797267775
D,5,22700,3124047,0.7266215905202451
D,7,2731907,3124047,87.44769204816701
M,,0,8245240,0.0
M,1,425932,8245240,5.165792627018741
M,2,152456,8245240,1.8490183427043967
M,3,39493,8245240,0.47897938689474173
M,4,13916,8245240,0.168776166612494
M,5,26487,8245240,0.3212398911371895
M,7,7586956,8245240,92.01619358563244
S,,0,2854897,0.0
S,1,458233,2854897,16.05077170910194
S,2,142681,2854897,4.997763491992881
S,3,127727,2854897,4.473961757639593
S,4,24336,2854897,0.85243005264288
S,5,58093,2854897,2.0348544973776637
S,7,2043827,2854897,71.59021849124504
U,,0,165092,0.0
U,1,21967,165092,13.305914278099484
U,2,5819,165092,3.5247013786252515
U,3,3587,165092,2.1727279335158576
U,4,1777,165092,1.07636953940833
U,5,3866,165092,2.341724614154532
U,7,128076,165092,77.57856225619655
W,,0,7674607,0.0
W,1,204278,7674607,2.6617389007671663
W,2,27940,7674607,0.3640577296010076
W,3,6229,7674607,0.08116376512829908
W,4,4154,7674607,0.054126550063084665
W,5,8610,7674607,0.11218815504168488
W,7,7423396,7674607,96.72672489939875
