race,manner_of_death,count,total,percentage
01,,0,1996493,0.0
01,1,123116,1996493,6.166613156169342
01,2,39983,1996493,2.002661667233494
01,3,8798,1996493,0.44067271961384286
01,4,3369,1996493,0.16874589592851064
01,5,8417,1996493,0.42158925676173165
01,7,1812810,1996493,90.79971730429308
02,,0,274645,0.0
02,1,15746,274645,5.733219246663875
02,2,2518,274645,0.9168198947732527
02,3,9419,274645,3.4295181051903363
02,4,634,274645,0.2308434524568079
02,5,2173,274645,0.7912031895719929
02,7,244155,274645,88.89839611134374
03,,0,17147,0.0
03,1,2067,17147,12.054586808188022
03,2,582,17147,3.3941797398961917
03,3,304,17147,1.7729048813203478
03,4,79,17147,0.46072199218522186
03,5,241,17147,1.4054936723625124
03,7,13874,17147,80.91211290604771
04,,0,7638,0.0
04,1,524,7638,6.860434668761456
04,2,253,7638,3.3123854412149782
04,3,47,7638,0.6153443309766955
04,4,15,7638,0.19638648860958366
04,5,30,7638,0.3927729772191673
04,7,6769,7638,88.62267609321812
05,,0,5555,0.0
05,1,303,5555,5.454545454545454
05,2,78,5555,1.4041404140414042
05,3,12,5555,0.21602160216021601
05,4,4,5555,0.07200720072007201
05,5,10,5555,0.18001800180018002
05,7,5148,5555,92.67326732673268
06,,0,644,0.0
06,1,43,644,6.6770186335403725
06,2,16,644,2.484472049689441
06,3,5,644,0.7763975155279503
06,5,1,644,0.15527950310559005
06,7,579,644,89.90683229813664
07,,0,6037,0.0
07,1,432,6037,7.155872121914858
07,2,152,6037,2.5178068577107835
07,3,33,6037,0.5466291204240517
07,4,10,6037,0.1656451880072884
07,5,27,6037,0.44724200761967864
07,7,5383,6037,89.16680470432334
18,,0,6286,0.0
18,1,431,6286,6.856506522430799
18,2,162,6286,2.577155583837098
18,3,60,6286,0.9545020680878141
18,4,8,6286,0.12726694241170855
18,5,33,6286,0.5249761374482977
18,7,5592,6286,88.95959274578428
28,,0,3213,0.0
28,1,263,3213,8.185496420790539
28,2,193,3213,6.006847183317771
28,3,31,3213,0.9648303765950824
28,4,9,3213,0.2801120448179272
28,5,19,3213,0.5913476501711796
28,7,2698,3213,83.97136632430751
38,,0,457,0.0
38,1,36,457,7.87746170678337
38,2,16,457,3.50109409190372
38,3,13,457,2.8446389496717726
38,4,1,457,0.2188183807439825
38,5,4,457,0.87527352297593
38,7,387,457,84.68271334792122
48,,0,3131,0.0
48,1,229,3131,7.313957202171831
48,2,119,3131,3.800702650910252
48,3,39,3131,1.245608431810923
48,4,9,3131,0.28744809964867457
48,5,17,3131,0.5429575215586074
48,7,2718,3131,86.80932609389971
58,,0,286,0.0
58,1,23,286,8.041958041958042
58,2,9,286,3.146853146853147
58,3,4,286,1.3986013986013985
58,4,1,286,0.34965034965034963
58,7,249,286,87.06293706293707
68,,0,5616,0.0
68,1,463,5616,8.244301994301996
68,2,207,5616,3.685897435897436
68,3,90,5616,1.6025641025641024
68,4,19,5616,0.3383190883190883
68,5,56,5616,0.9971509971509971
68,7,4781,5616,85.13176638176638
78,,0,2686,0.0
78,1,285,2686,10.610573343261356
78,2,129,2686,4.802680565897245
78,3,30,2686,1.1169024571854058
78,4,7,2686,0.2606105733432614
78,5,26,2686,0.967982129560685
78,7,2209,2686,82.24125093075205
